válasz	példa	helyes
aaa	óber 1., kedd	aaa
	W{}W{}W. M AGYA RH{I}RLAP.HU	
	24 oldal	
b	LAP.HU	b
	24 oldal{}, 94 forint	
	Vers	
d	 színház körül	z
	{l} 9. oldal	
	Több köb	
b	még a tennivaló{	b
	}Második fordulór	
b	agát. 5. oldal	b
	{A} száz nap laktan	
b	oldal	b
	GAZDASÁG	
	{A} magyar tőke is 	
a	őt a befektetők{,} nemcsak a külfö	a
b	oldal	b
	TÁRSALGÓ	
	{A}z építőipar lehe	
b	. Ny-Magyaro. K{-}Magyaro.	b
	kissé f	
b	 felhős változó{ }kissé felhős kis	b
b	ssé felhős	b
	MTV {R}t.: elmarad a Ba	
a	2., álláspont a{ 11}. oldalon	a
	Baló G	
b	: Móricz Simon	b
	{P}M: jelentősen cs	
b	vehető igénybe	b
	{A} személyi jövede	
b	stanulmányból. {A}z egy, illetve t	b
b	s még nagyobb. {A} háromgyermekes 	b
bc	resetét (havi 1{}3{/}796 forint) péld	bb
c	H-összeállítás {l} Nagy Ildikó	z
	A f	
b	őbb adó- és adó{}jellegű bevétele	b
a	00 forintos) 12{,}5 százalékkal em	a
b	ését eredményez{}i.	b
	Az adójóváírá	
a	l 108 ezerre nő{,} havi bruttó 162	a
a	adózik.	a
	A jöved{e}lemsávonkénti tá	
b	ténél jövőre az{} szja-terhelés (	b
a	gygyermekesé 18{,}5 százalékra, a 	a
b	aládi adókedvez{}mény jövőre is v	b
b	 után pedig tíz{}ezer forint.	b
	Fol	
bb	a 13. oldalon	bb
	W{ilson-}kó{r}os fiát az erdőb	
a	 Biczó Henriett{ }Csajka Antalt öt	b
a	 budapesti nagy{}követségén lehet	a
a	íván benyújtani{,} időpontot kell 	a
b	záma: 06-90-507{-}507.) Azaz mától	b
b	Államok már köz{}ölte a feltétele	b
b	feltételeket az{} ENSZ Biztonság 	b
a	ácsának „kemény{”} határozata fogj	a
aa	cskozása után P{e}ter Hain{,} az európai ügye	aa
c	 szükség. A fra{n}cia, a belga és 	c
a	tanulmányozását{,} a másik nap Fra	a
b	egírta, hogy Sz{}addám Húszéin má	b
b	, a civilek les{zavaztá}k	b
	Kudarcba fulla	
a	 ajánlotta Baló{ }Györgyöt megvála	a
b	egválasztani. A{z} első körben még	b
b	ia szociológus:{	b
	}Mélységesen felh	
b	en teljesen nyi{l}vánvaló, itt szá	b
b	ököt választani{}, senkinek sem j	b
b	"tja a vizet""."	b
	T{ő}kéczki László po	
j	tein Imrének, K{ó}sa Somogyi Györg	j
b	egyében Balóhoz{} vándorolt a szü	b
a	i a mi emberünk{”}	a
	Azt viszont néh	
a	 fognak elfogad{}ni, „más személy	a
b	tani a jelöltet{”} - fogalmaztak n	b
a	ik irányban sem{”}.	a
	A történtek ér	
b	olvasásra.)	b
	Koz{}ák Márton elnöks	
a	 miatt	a
	Fotó: Sz{i}getváry Zsolt	
	ze	
b	 Miklós (SZDSZ){,} Sasvári Szilárd	b
a	szavazásáig nem{ }akartak elnököt 	a
b	lehetősége lesz{} a kísérletre, m	b
a	öki posztjára. {A} hétfői sikertel	a
b	idítését pályáz{}atában Baló Györ	b
a	lak mögött kigo{l}yózták. Most sem	a
a	olt szerencséje{,} pedig közel áll	a
ab	ila (FKGP), Cse{rn}us János (F{i}desz), Gombár Jó	ab
a	svári Szilárd ({Fi}desz), Tátrai Es	a
a	Tátrai Eszter ({Fi}desz).	a
	Társadalm	
b	galma: Hanti Vi{l}mos	b
	Görgey Kör: 	
b	e	b
	Magyar Nők Vi{l}ágfóruma: Ékes I	
bb	gfóruma: Ékes I{l}ona	bb
	Országos If{j}úsági Telekommun	
f	ank Dénes	f
	Nyugd{í}jasklubok és Idő	
b	 Krizsán Sándor{ }Asztmás és Aller	a
ab	Magyar Szabadst{í}lus{ú} BMX Szövetség: 	ab
b	etnek részt. Az{} elnökség jelölt	b
a	újságíróktól ké{rn}ek tanácsot vagy	a
b	éseknél. Többsz{}ör előfordult, h	b
a	ívást jelenthet{”}. Igaz, a megvál	a
b	es és nívós köz{t}évét teremtsen. 	b
a	y-verzet-ellenő{r}zésének felújítá	a
b	 de a háromszáz{} újságíró egyelő	b
a	ia Ügynökség (N{}AÜ) székhelyén. 	a
aa	 a NAÜ vezetője{,} Hans Blix{,} az UNMOVIC, a f	aa
a	, aki azt kérte{,} ne kövessék egy	a
a	ns Blix, a fegy{}verzetellenőrök 	a
a	zetet támogatná{,} úgy ez lovat ad	a
a	yait idézte fel{,} elsősorban a nu	a
b	SZ hitele a tét{”}. BBC	b
	galmazása 	
a	külügyminiszter{,} Dominique de Vi	a
a	ű NATO-tagállam{,} Törökország győ	a
a	ítás	a
	Peter Hain{,} az európai ügye	
b	an hangsúlyozta{,} hogy a nemzetkö	b
a	kikényszerítése{,} hanem csakis a 	a
a	teljes mér-	a
	Ari{el} Sáron Moszkvában puha	
a	e ki tegnap Ari{el} Sáron izraeli k	a
a	haza Teheránból{,} de a reformok i	a
b	a parancsot?	b
	Az{} illetékes paran	
a	Washington Post{, hozzátéve,} hogy ez ugyaníg	a
a	k Washingtonnal{,} de a BBC szerin	a
a	üntetése	a
	felszó{lí}totta a kormányt	
a	lnök adhatja ki{,} s ezt most „meg	a
b	 „megelőlegezte{”}, mivel pontosan	b
a	r Washingtontól{,} hogy háborús bű	a
b	 állampolgárait{:} végül kikötné, 	a
b	európai állam p{o}lgárai hasonló v	b
b	ezését. Reuters{/}MTI	b
	Levelet vitt	
b	rikai hetilap s{ze}rint a posta mun	b
b	él felnyitására{”} - érvelt a hiva	b
b	rvelt a hivatal{.} A posta a többi	b
a	en. Aidán White{,} az IFJ főtitkár	a
a	érfoltos évének{”} minősítette 200	a
a	sítette 2002-t.{ }A világ legnagyo	a
c	nica és Mirolju{k} Labus küzd meg 	a
b	szerezte meg az{} abszolút többsé	b
a	dhatja magáénak{,} Labus pedig 27,	a
b	, amikor rendsz{}erint 10-15 száz	b
a	s megismétlését{,} a politikai vál	a
b	rmadik helyet, {}azaz a 21 százal	b
a	nnak köszönheti{,} hogy Slobodan M	a
a	vic „találta ki{”}, és most is	a
	Gör	
a	ociáldemokrata-{b}alpárti koalíció	a
b	álasztásokon.	b
	M{ }H-összeállítás	
	M	
b	tese, a 82 hely{}éből 27-et elves	b
b	tja csak 174-gy{e}l rendelkezik. A	b
a	z elmaradottság{,} nagyon sűrű a h	a
a	an szeptember l{S}én választották 	z
b	ékban.	b
	SD 39.9%{ }C 6.2%	
	Baloldal 	
bbbbb	l Jobbközép	bbbbb
	SD {S}zoc{iáldemokra}ták M {Mé}rsékeltek	
	V {}B{a}loldal Pártja Fp	
b	ldal Pártja Fp {l}iberálisok	a
	Mp Zö	
a	okraták	b
	REUTERS{ *}	
	helyzetben egyr	
b	árcákra áhítozó{ }Zöld Párt, amely	b
a	llett Labusé is{,} aki „extrém mód	a
a	 választások ku{-}	a
	hozta azt, amit	
a	y a vajdasági S{}zerémségben Voji	a
aa	eselj aratta a {}legtöbb babért?{}	aa
	Erre a nagyszám	
b	 szerb menekült{ }jelenléte adhat 	b
b	agyarázatot. Az{} ő szavazataik t	b
a	k le. Milosevic{ }felszólítása nyo	a
a	 bátorít, az az{,} hogy az észak-b	a
b	 euróöve-zethez{}, sőt, még akár 	b
a	 a pénzpiacokon{,} a politikai cse	a
a	urópai gondolko{}dású, aki az Eur	a
b	ódja körüli néz{eteltéréseket} azonban egyelőr	b
b	hatása lenne az{} újonnan csatlak	b
a	 bizonyítsák be{,} hogy Szerbia a 	a
b	ok útját válasz{}totta.	b
	A szövets	
a	t a Vajdaságban{,} ahol 37 százalé	a
b	p meg is jegyez{}te, hogy Labus a	b
b	ltségvetési poz{}ícióba. Per Stig	b
b	ámogatná azt az{} elképzelést, am	b
a	atiság mellett.{ }Kilátásba helyez	a
a	égvetésből. Már{ }az idén növelik 	a
b	 komolyabb össz{}eget a következő	b
a	etésben a kis-	a
	{J}elölt is, Szabó 	
b	lva, hogy 21 Sz{}abó Jánosné nehe	b
ba	ebb 1753-an kam{}pány{ol}nak a Szabó veze	ba
b	 Választási Biz{}ottság sorsoláss	b
aa	csabai megyeház{o}n Fotó: mti - {L}ehoczky Péter	ba
	mi	
bb	nem szavazók” l{is}tájá{}ra.) Kilenc hely	bb
b	int a megszerez{}hető mandátumok 	b
a	 8362 polgármes{ter}jelölt zöme (717	a
a	Erzsébet (MSZP){,} Karacs Lajos-né	a
b	ban eddig 52 ez{}er jelölt iratko	b
